record_ID,units_sold
212877,38.0
212879,17.0
212880,29.0
212881,32.0
212884,15.0
212885,34.0
212886,22.0
212888,23.0
212889,41.0
212890,22.0
212891,67.0
212892,19.0
212893,35.0
212896,29.0
212899,5.0
212900,14.0
212901,23.0
212902,16.0
212903,13.0
212905,34.0
212906,12.0
212907,64.0
212910,16.0
212911,14.0
212914,15.0
212915,113.0
212916,70.0
212917,36.0
212919,40.0
212920,56.0
212921,77.0
212924,70.0
212925,48.0
212926,314.0
212927,10.0
212929,73.0
212930,53.0
212931,14.0
212932,64.0
212933,67.0
212934,97.0
212935,11.0
212936,60.0
212937,65.0
212938,12.0
212940,39.0
212941,44.0
212942,32.0
212946,45.0
212947,59.0
212948,138.0
212949,41.0
212950,55.0
212951,28.0
212952,37.0
212954,63.0
212955,26.0
212956,26.0
212959,15.0
212960,22.0
212964,68.0
212965,28.0
212966,215.0
212967,16.0
212968,14.0
212969,36.0
212970,48.0
212971,22.0
212973,24.0
212974,34.0
212977,51.0
212978,54.0
212979,24.0
212981,22.0
212982,41.0
212983,41.0
212984,44.0
212985,45.0
212986,51.0
212987,109.0
212988,35.0
212989,260.0
212990,27.0
212991,24.0
212993,55.0
212994,63.0
212995,36.0
212996,39.0
212997,39.0
212998,68.0
212999,6.0
213001,13.0
213002,13.0
213006,16.0
213007,20.0
213011,26.0
213012,12.0
213013,63.0
213016,19.0
213017,10.0
213020,20.0
213021,164.0
213022,105.0
213023,75.0
213025,47.0
213026,47.0
213027,79.0
213031,104.0
213032,56.0
213033,345.0
213034,23.0
213035,18.0
213036,70.0
213037,86.0
213038,52.0
213039,18.0
213040,31.0
213041,83.0
213043,23.0
213048,130.0
213049,90.0
213050,40.0
213053,64.0
213054,67.0
213055,99.0
213056,51.0
213059,65.0
213060,58.0
213061,269.0
213064,77.0
213065,49.0
213066,41.0
213068,70.0
213069,93.0
213070,34.0
213072,66.0
213073,57.0
213074,28.0
213076,19.0
213077,36.0
213078,53.0
213079,29.0
213080,26.0
213081,31.0
213082,85.0
213083,27.0
213084,201.0
213085,26.0
213086,25.0
213087,41.0
213088,70.0
213089,28.0
213090,31.0
213091,43.0
213092,58.0
213093,6.0
213094,10.0
213096,17.0
213097,25.0
213098,22.0
213100,8.0
213101,22.0
213102,33.0
213103,24.0
213105,40.0
213106,46.0
213107,22.0
213108,75.0
213109,26.0
213110,40.0
213111,21.0
213113,40.0
213114,42.0
213115,5.0
213123,34.0
213127,74.0
213128,47.0
213129,27.0
213131,30.0
213132,42.0
213133,52.0
213135,60.0
213136,26.0
213137,152.0
213138,12.0
213140,38.0
213141,32.0
213142,36.0
213145,46.0
213147,9.0
213148,61.0
213149,28.0
213150,9.0
213151,22.0
213152,30.0
213153,9.0
213154,58.0
213155,24.0
213156,119.0
213157,17.0
213158,14.0
213159,36.0
213160,38.0
213161,25.0
213162,21.0
213163,29.0
213164,38.0
213167,12.0
213168,24.0
213169,188.0
213170,158.0
213171,104.0
213174,68.0
213175,84.0
213176,95.0
213179,33.0
213180,139.0
213181,69.0
213182,381.0
213183,34.0
213187,73.0
213188,67.0
213189,86.0
213191,37.0
213192,99.0
213194,22.0
213195,10.0
213197,11.0
213199,9.0
213200,25.0
213202,33.0
213204,60.0
213205,27.0
213206,82.0
213207,23.0
213208,83.0
213209,35.0
213215,85.0
213216,69.0
213217,44.0
213219,54.0
213220,54.0
213221,67.0
213225,62.0
213226,39.0
213227,260.0
213230,46.0
213231,46.0
213233,33.0
213235,74.0
213236,11.0
213238,121.0
213239,75.0
213240,34.0
213241,42.0
213242,42.0
213243,64.0
213245,79.0
213246,39.0
213247,288.0
213248,27.0
213249,15.0
213250,70.0
213251,46.0
213252,19.0
213254,36.0
213255,71.0
213256,5.0
213257,24.0
213260,10.0
213265,31.0
213268,12.0
213269,59.0
213270,44.0
213273,27.0
213275,41.0
213276,21.0
213278,7.0
213279,22.0
213280,61.0
213281,33.0
213282,18.0
213283,27.0
213285,109.0
213286,43.0
213287,188.0
213288,23.0
213289,20.0
213292,47.0
213293,46.0
213294,22.0
213296,46.0
213297,45.0
213301,23.0
213303,7.0
213304,18.0
213305,43.0
213306,31.0
213308,58.0
213309,53.0
213310,46.0
213311,28.0
213312,121.0
213314,11.0
213315,36.0
213316,34.0
213317,16.0
213320,186.0
213321,116.0
213322,33.0
213325,62.0
213326,68.0
213327,105.0
213330,34.0
213331,102.0
213332,49.0
213333,246.0
213334,13.0
213335,5.0
213336,80.0
213337,51.0
213338,18.0
213340,70.0
213341,83.0
213343,9.0
213346,217.0
213347,29.0
213348,9.0
213351,8.0
213352,37.0
213353,25.0
213354,24.0
213355,32.0
213356,34.0
213357,41.0
213358,22.0
213359,143.0
213360,9.0
213361,8.0
213363,53.0
213364,28.0
213365,30.0
213366,33.0
213367,36.0
213369,65.0
213370,56.0
213371,17.0
213372,18.0
213373,26.0
213374,44.0
213375,24.0
213376,21.0
213377,28.0
213378,62.0
213379,21.0
213380,132.0
213381,13.0
213382,14.0
213383,36.0
213384,56.0
213385,34.0
213387,31.0
213388,39.0
213390,10.0
213391,28.0
213392,30.0
213394,20.0
213395,49.0
213396,28.0
213399,58.0
213400,24.0
213401,125.0
213403,24.0
213404,26.0
213408,15.0
213409,7.0
213410,7.0
213411,13.0
213412,57.0
213413,45.0
213414,17.0
213415,19.0
213416,30.0
213417,30.0
213418,16.0
213419,15.0
213420,12.0
213421,63.0
213422,17.0
213423,142.0
213425,12.0
213426,28.0
213427,30.0
213428,16.0
213431,34.0
213432,8.0
213434,12.0
213435,68.0
213436,55.0
213437,33.0
213439,22.0
213440,36.0
213441,46.0
213444,49.0
213445,41.0
213446,29.0
213447,138.0
213448,45.0
213449,28.0
213454,60.0
213455,37.0
213456,27.0
213457,45.0
213458,41.0
213461,38.0
213462,31.0
213463,133.0
213466,36.0
213467,14.0
213471,15.0
213472,66.0
213473,40.0
213474,20.0
213476,31.0
213477,46.0
213478,43.0
213479,74.0
213480,47.0
213481,181.0
213484,40.0
213485,68.0
213486,16.0
213488,26.0
213489,35.0
213490,5.0
213491,24.0
213494,22.0
213495,17.0
213496,11.0
213497,22.0
213502,41.0
213503,27.0
213505,21.0
213506,45.0
213507,20.0
213510,37.0
213511,28.0
213512,8.0
213514,15.0
213516,41.0
213517,18.0
213518,104.0
213519,15.0
213520,12.0
213521,24.0
213522,29.0
213523,12.0
213526,21.0
213528,9.0
213530,39.0
213531,35.0
213532,23.0
213533,6.0
213535,17.0
213536,23.0
213537,33.0
213538,23.0
213540,33.0
213541,59.0
213542,25.0
213543,118.0
213545,8.0
213546,28.0
213547,55.0
213548,25.0
213550,29.0
213551,36.0
213554,16.0
213559,31.0
213560,18.0
213561,33.0
213562,38.0
213563,35.0
213564,50.0
213565,19.0
213566,102.0
213567,44.0
213568,35.0
213572,24.0
213573,22.0
213574,19.0
213575,6.0
213576,6.0
213577,21.0
213578,14.0
213579,22.0
213580,29.0
213581,56.0
213582,22.0
213583,112.0
213584,12.0
213587,59.0
213588,32.0
213591,42.0
213593,49.0
213594,42.0
213597,19.0
213598,23.0
213599,30.0
213600,16.0
213601,21.0
213602,26.0
213603,66.0
213604,27.0
213605,150.0
213606,21.0
213607,16.0
213608,44.0
213609,33.0
213610,21.0
213612,24.0
213613,37.0
213614,15.0
213615,160.0
213616,140.0
213617,39.0
213619,61.0
213620,72.0
213621,87.0
213624,39.0
213625,82.0
213626,66.0
213627,327.0
213630,79.0
213631,54.0
213635,78.0
213639,31.0
213640,29.0
213641,9.0
213643,15.0
213644,27.0
213645,21.0
213648,54.0
213649,21.0
213650,115.0
213651,22.0
213652,18.0
213653,36.0
213654,30.0
213658,27.0
213660,13.0
213661,15.0
213663,9.0
213664,24.0
213665,50.0
213666,26.0
213669,73.0
213670,34.0
213671,123.0
213673,28.0
213674,86.0
213675,36.0
213678,46.0
213681,43.0
213682,35.0
213683,18.0
213685,20.0
213686,48.0
213687,39.0
213688,45.0
213689,50.0
213690,45.0
213691,75.0
213692,35.0
213693,153.0
213694,15.0
213696,37.0
213697,28.0
213698,15.0
213699,39.0
213700,44.0
213701,39.0
213703,61.0
213704,44.0
213707,26.0
213708,36.0
213709,37.0
213711,41.0
213712,28.0
213713,123.0
213716,42.0
213720,41.0
213723,102.0
213724,83.0
213725,19.0
213727,49.0
213728,52.0
213729,53.0
213733,60.0
213734,48.0
213735,227.0
213736,70.0
213737,48.0
213738,22.0
213741,63.0
213743,208.0
213744,110.0
213745,65.0
213748,58.0
213749,58.0
213750,103.0
213752,113.0
213753,60.0
213754,380.0
213755,38.0
213756,23.0
213758,84.0
213759,66.0
213760,34.0
213761,37.0
213762,44.0
213763,127.0
213764,6.0
213765,25.0
213768,227.0
213769,156.0
213770,66.0
213771,14.0
213773,67.0
213774,75.0
213775,122.0
213779,106.0
213780,58.0
213781,370.0
213782,15.0
213783,12.0
213785,79.0
213786,52.0
213787,81.0
213788,35.0
213789,64.0
213790,97.0
213792,18.0
213796,19.0
213797,17.0
213798,9.0
213799,7.0
213800,9.0
213801,28.0
213802,26.0
213805,66.0
213806,29.0
213807,91.0
213808,6.0
213809,26.0
213811,30.0
213814,34.0
213816,18.0
213817,24.0
213819,8.0
213820,22.0
213821,16.0
213824,39.0
213825,22.0
213826,62.0
213829,21.0
213830,54.0
213831,27.0
213833,17.0
213834,18.0
213835,12.0
213838,11.0
213840,24.0
213842,26.0
213844,22.0
213848,112.0
213849,70.0
213850,39.0
213851,41.0
213852,45.0
213853,54.0
213857,64.0
213858,45.0
213859,247.0
213860,21.0
213861,8.0
213862,54.0
213863,52.0
213865,32.0
213866,46.0
213867,66.0
213870,69.0
213871,28.0
213874,35.0
213875,42.0
213878,54.0
213879,28.0
213880,134.0
213883,36.0
213884,20.0
213885,10.0
213888,38.0
213891,153.0
213892,80.0
213893,30.0
213895,35.0
213896,56.0
213897,72.0
213900,92.0
213901,50.0
213902,258.0
213903,25.0
213905,51.0
213906,46.0
213907,51.0
213909,31.0
213910,65.0
213912,22.0
213913,16.0
213918,25.0
213919,16.0
213922,19.0
213923,58.0
213924,21.0
213925,115.0
213926,7.0
213928,16.0
213930,29.0
213932,27.0
213935,29.0
213936,26.0
213939,9.0
213940,17.0
213942,63.0
213943,20.0
213944,113.0
213945,19.0
213946,14.0
213947,39.0
213948,39.0
213949,21.0
213951,18.0
213952,26.0
213954,12.0
213955,20.0
213956,17.0
213960,20.0
213961,41.0
213962,21.0
213963,37.0
213964,39.0
213965,27.0
213966,55.0
213967,31.0
213968,117.0
213971,27.0
213972,38.0
213973,16.0
213976,156.0
213977,75.0
213978,47.0
213979,26.0
213980,15.0
213981,68.0
213982,98.0
213983,120.0
213985,27.0
213986,18.0
213987,174.0
213988,92.0
213989,462.0
213990,34.0
213991,15.0
213994,91.0
213995,79.0
213996,90.0
213998,73.0
213999,104.0
214000,5.0
214001,28.0
214002,23.0
214004,59.0
214005,37.0
214006,17.0
214008,49.0
214009,43.0
214010,47.0
214011,34.0
214014,40.0
214015,50.0
214016,162.0
214017,68.0
214018,33.0
214019,59.0
214021,80.0
214022,70.0
214023,82.0
214024,69.0
214025,27.0
214026,42.0
214027,46.0
214028,53.0
214032,45.0
214033,68.0
214034,230.0
214035,81.0
214036,67.0
214040,63.0
214041,5.0
214043,216.0
214044,135.0
214045,89.0
214048,86.0
214049,103.0
214050,120.0
214051,15.0
214054,166.0
214055,88.0
214056,602.0
214057,29.0
214061,102.0
214062,122.0
214063,105.0
214065,68.0
214066,140.0
214067,25.0
214070,64.0
214071,54.0
214072,19.0
214073,19.0
214074,34.0
214075,50.0
214076,36.0
214077,24.0
214078,38.0
214079,113.0
214080,32.0
214081,192.0
214082,30.0
214083,27.0
214084,51.0
214085,90.0
214086,57.0
214088,34.0
214089,73.0
214090,5.0
214092,14.0
214096,25.0
214097,23.0
214098,18.0
214099,24.0
214100,57.0
214101,33.0
214102,102.0
214103,5.0
214104,43.0
214105,85.0
214106,31.0
214109,41.0
214111,38.0
214112,48.0
214114,20.0
214115,30.0
214116,23.0
214118,44.0
214120,42.0
214121,27.0
214122,107.0
214124,26.0
214125,24.0
214126,12.0
214129,44.0
214130,40.0
214131,10.0
214133,21.0
214134,38.0
214135,51.0
214136,27.0
214137,29.0
214138,40.0
214139,74.0
214140,25.0
214141,153.0
214142,19.0
214143,14.0
214144,37.0
214145,35.0
214146,22.0
214148,31.0
214149,41.0
214151,148.0
214152,83.0
214153,27.0
214154,49.0
214155,71.0
214156,94.0
214158,36.0
214159,79.0
214160,39.0
214161,309.0
214162,19.0
214163,11.0
214164,76.0
214165,49.0
214168,46.0
214169,93.0
214175,57.0
214176,48.0
214177,15.0
214178,45.0
214179,40.0
214180,85.0
214184,70.0
214185,44.0
214186,292.0
214187,73.0
214188,41.0
214191,57.0
214192,11.0
214193,34.0
214194,26.0
214195,10.0
214196,37.0
214197,61.0
214198,30.0
214202,84.0
214203,57.0
214204,191.0
214205,47.0
214206,148.0
214207,58.0
214209,73.0
214210,86.0
214213,30.0
214215,10.0
214216,24.0
214217,25.0
214218,8.0
214221,60.0
214222,20.0
214223,150.0
214224,17.0
214225,15.0
214226,34.0
214227,53.0
214228,25.0
214229,19.0
214230,25.0
214231,37.0
214233,10.0
214235,132.0
214236,83.0
214237,53.0
214240,60.0
214241,70.0
214242,81.0
214245,105.0
214246,56.0
214247,361.0
214248,19.0
214249,10.0
214251,82.0
214252,69.0
214253,67.0
214255,66.0
214256,93.0
214258,12.0
214261,11.0
214262,40.0
214263,18.0
214265,20.0
214266,29.0
214267,24.0
214271,75.0
214272,24.0
214273,148.0
214274,21.0
214275,17.0
214276,32.0
214277,42.0
214278,21.0
214281,35.0
214282,15.0
214283,12.0
214284,14.0
214285,20.0
214286,37.0
214287,28.0
214288,21.0
214292,22.0
214293,47.0
214296,15.0
214297,120.0
214300,176.0
214301,88.0
214302,50.0
214305,80.0
214306,103.0
214307,113.0
214310,21.0
214311,101.0
214312,69.0
214313,99.0
214314,20.0
214315,11.0
214316,85.0
214317,55.0
214318,261.0
214320,9.0
214321,24.0
214322,20.0
214325,87.0
214326,89.0
214327,17.0
214328,6.0
214330,28.0
214331,65.0
214332,37.0
214333,41.0
214334,44.0
214335,30.0
214336,75.0
214337,33.0
214338,44.0
214339,22.0
214340,16.0
214341,44.0
214342,46.0
214343,146.0
214344,16.0
214345,18.0
214346,20.0
214348,7.0
214349,16.0
214350,38.0
214351,32.0
214352,32.0
214355,39.0
214356,30.0
214357,22.0
214358,28.0
214360,72.0
214361,29.0
214362,41.0
214363,12.0
214364,10.0
214366,32.0
214367,58.0
214368,131.0
214370,23.0
214371,27.0
214373,5.0
214374,8.0
214375,13.0
214376,271.0
214377,213.0
214378,71.0
214379,18.0
214381,117.0
214382,172.0
214383,200.0
214387,215.0
214388,97.0
214389,201.0
214390,34.0
214391,20.0
214393,116.0
214394,96.0
214395,300.0
214396,12.0
214397,29.0
214398,59.0
214399,11.0
214400,61.0
214402,12.0
214403,85.0
214404,90.0
214406,59.0
214407,69.0
214408,62.0
214411,37.0
214412,58.0
214413,34.0
214414,60.0
214415,10.0
214416,8.0
214417,58.0
214418,36.0
214421,10.0
214422,23.0
214425,187.0
214426,107.0
214427,67.0
214428,14.0
214430,108.0
214431,138.0
214432,114.0
214434,140.0
214435,169.0
214436,112.0
214437,23.0
214438,12.0
214440,100.0
214441,80.0
214443,10.0
214444,17.0
214445,30.0
214447,31.0
214450,34.0
214454,18.0
214455,38.0
214456,35.0
214457,24.0
214458,36.0
214459,40.0
214460,59.0
214461,24.0
214462,42.0
214463,15.0
214464,9.0
214466,41.0
214467,50.0
214468,101.0
214469,18.0
214470,21.0
214471,27.0
214472,25.0
214473,21.0
214475,11.0
214476,30.0
214477,30.0
214478,30.0
214481,45.0
214482,19.0
214483,36.0
214484,14.0
214487,43.0
214488,102.0
214491,16.0
214494,37.0
214495,23.0
214498,19.0
214499,64.0
214500,50.0
214501,15.0
214504,102.0
214505,42.0
214506,87.0
214507,27.0
214508,27.0
214510,42.0
214511,68.0
214512,120.0
214513,16.0
214514,18.0
214515,23.0
214517,17.0
214518,28.0
214519,31.0
214522,15.0
214523,42.0
214524,21.0
214526,36.0
214527,38.0
214528,20.0
214529,15.0
214530,17.0
214531,32.0
214534,14.0
214539,6.0
214540,14.0
214541,34.0
214542,16.0
214543,16.0
214545,34.0
214546,13.0
214547,23.0
214550,16.0
214551,13.0
214554,9.0
214555,117.0
214556,69.0
214557,37.0
214559,62.0
214560,79.0
214561,82.0
214564,67.0
214565,46.0
214566,67.0
214567,9.0
214569,71.0
214570,38.0
214571,174.0
214572,13.0
214573,20.0
214574,30.0
214575,9.0
214577,63.0
214578,59.0
214579,10.0
214581,35.0
214582,44.0
214583,31.0
214587,40.0
214588,54.0
214589,42.0
214590,37.0
214591,45.0
214592,249.0
214593,9.0
214595,18.0
214596,34.0
214597,29.0
214600,26.0
214601,23.0
214605,69.0
214606,29.0
214607,63.0
214608,17.0
214609,15.0
214610,34.0
214611,47.0
214612,118.0
214614,15.0
214615,20.0
214618,51.0
214619,67.0
214620,23.0
214622,29.0
214623,63.0
214624,44.0
214625,40.0
214626,49.0
214627,50.0
214628,98.0
214629,33.0
214630,71.0
214631,28.0
214632,23.0
214634,56.0
214635,61.0
214636,253.0
214637,24.0
214638,17.0
214639,43.0
214640,6.0
214642,18.0
214643,11.0
214646,23.0
214647,20.0
214651,26.0
214652,12.0
214653,14.0
214656,19.0
214657,61.0
214660,12.0
214661,157.0
214662,103.0
214663,75.0
214665,66.0
214666,70.0
214667,87.0
214671,98.0
214672,56.0
214673,91.0
214674,21.0
214675,17.0
214676,69.0
214677,111.0
214678,181.0
214679,6.0
214680,10.0
214681,24.0
214683,19.0
214688,110.0
214689,88.0
214690,55.0
214693,80.0
214694,102.0
214695,98.0
214696,51.0
214699,64.0
214700,54.0
214701,77.0
214704,73.0
214705,35.0
214706,187.0
214708,10.0
214709,21.0
214710,40.0
214712,72.0
214713,56.0
214714,23.0
214716,22.0
214717,48.0
214718,56.0
214719,29.0
214720,30.0
214721,35.0
214722,81.0
214723,26.0
214724,62.0
214725,26.0
214726,24.0
214727,42.0
214728,64.0
214729,110.0
214730,15.0
214731,24.0
214732,36.0
214733,6.0
214734,10.0
214736,18.0
214737,24.0
214738,20.0
214740,17.0
214741,37.0
214742,34.0
214743,45.0
214745,34.0
214746,50.0
214747,22.0
214748,28.0
214749,28.0
214750,37.0
214751,107.0
214753,21.0
214754,19.0
214755,5.0
214763,31.0
214767,81.0
214768,46.0
214769,26.0
214771,35.0
214772,39.0
214773,54.0
214775,54.0
214776,26.0
214777,49.0
214778,13.0
214780,38.0
214781,32.0
214782,147.0
214785,16.0
214787,8.0
214788,49.0
214789,34.0
214790,10.0
214791,30.0
214792,30.0
214793,15.0
214794,62.0
214795,26.0
214796,37.0
214797,17.0
214798,13.0
214799,37.0
214800,37.0
214801,81.0
214802,17.0
214803,19.0
214804,25.0
214807,23.0
214808,24.0
214809,185.0
214810,140.0
214811,103.0
214813,92.0
214814,112.0
214815,100.0
214818,42.0
214819,137.0
214820,67.0
214821,117.0
214822,25.0
214826,71.0
214827,75.0
214828,323.0
214830,8.0
214831,28.0
214833,20.0
214834,9.0
214836,8.0
214838,13.0
214839,37.0
214841,20.0
214843,62.0
214844,28.0
214845,25.0
214846,23.0
214847,76.0
214848,172.0
214854,88.0
214855,70.0
214856,43.0
214858,60.0
214859,59.0
214860,73.0
214864,61.0
214865,39.0
214866,63.0
214869,46.0
214870,52.0
214872,8.0
214874,23.0
214875,10.0
214877,119.0
214878,77.0
214879,36.0
214880,46.0
214881,65.0
214882,71.0
214884,77.0
214885,39.0
214886,71.0
214887,24.0
214888,15.0
214889,70.0
214890,42.0
214891,173.0
214893,8.0
214894,28.0
214895,6.0
214896,19.0
214899,14.0
214904,32.0
214907,10.0
214908,54.0
214909,104.0
214912,13.0
214914,46.0
214915,22.0
214917,8.0
214918,29.0
214919,77.0
214920,34.0
214921,23.0
214922,29.0
214924,114.0
214925,43.0
214926,80.0
214927,25.0
214928,20.0
214931,47.0
214932,45.0
214933,92.0
214935,25.0
214936,31.0
214940,17.0
214942,6.0
214943,19.0
214944,58.0
214945,32.0
214947,69.0
214948,65.0
214949,37.0
214950,27.0
214951,33.0
214953,11.0
214954,39.0
214955,32.0
214956,148.0
214959,180.0
214960,113.0
214961,26.0
214964,72.0
214965,90.0
214966,108.0
214969,35.0
214970,97.0
214971,47.0
214972,103.0
214973,13.0
214974,6.0
214975,76.0
214976,47.0
214977,196.0
214979,17.0
214980,21.0
214982,8.0
214985,192.0
214986,29.0
214987,6.0
214990,13.0
214991,54.0
214992,26.0
214993,29.0
214994,41.0
214995,29.0
214996,56.0
214997,23.0
214998,39.0
214999,10.0
215000,8.0
215002,46.0
215003,93.0
215004,14.0
215005,13.0
215006,21.0
215008,66.0
215009,45.0
215010,10.0
215011,20.0
215012,37.0
215013,42.0
215014,35.0
215015,32.0
215016,37.0
215017,64.0
215018,22.0
215019,43.0
215020,15.0
215021,14.0
215022,35.0
215023,54.0
215024,145.0
215026,15.0
215027,24.0
215029,11.0
215030,33.0
215031,24.0
215033,23.0
215034,59.0
215035,28.0
215038,50.0
215039,25.0
215040,41.0
215043,26.0
215044,29.0
215048,9.0
215049,8.0
215050,8.0
215051,15.0
215052,66.0
215053,56.0
215054,17.0
215055,21.0
215056,43.0
215057,31.0
215058,18.0
215059,14.0
215060,14.0
215061,47.0
215062,17.0
215063,41.0
215065,13.0
215066,28.0
215067,32.0
215068,140.0
215071,16.0
215072,8.0
215074,16.0
215075,68.0
215076,51.0
215077,27.0
215079,33.0
215080,39.0
215081,48.0
215084,49.0
215085,41.0
215086,28.0
215087,42.0
215088,43.0
215089,26.0
215094,60.0
215095,38.0
215096,34.0
215097,45.0
215098,44.0
215101,34.0
215102,29.0
215103,47.0
215106,33.0
215107,14.0
215111,13.0
215112,67.0
215113,40.0
215114,19.0
215116,36.0
215117,47.0
215118,45.0
215119,69.0
215120,46.0
215121,71.0
215124,39.0
215125,59.0
215126,156.0
215128,9.0
215129,13.0
215130,5.0
215131,27.0
215134,22.0
215135,16.0
215136,15.0
215137,28.0
215142,37.0
215143,26.0
215145,20.0
215146,41.0
215147,116.0
215150,33.0
215151,24.0
215152,9.0
215154,14.0
215156,42.0
215157,18.0
215158,38.0
215159,14.0
215160,14.0
215161,25.0
215162,30.0
215163,56.0
215166,15.0
215167,11.0
215169,36.0
215170,41.0
215171,21.0
215172,6.0
215174,21.0
215175,31.0
215176,34.0
215177,28.0
215179,39.0
215180,65.0
215181,25.0
215182,41.0
215184,9.0
215185,29.0
215186,51.0
215187,112.0
215189,20.0
215190,20.0
215193,18.0
215198,52.0
215199,19.0
215200,34.0
215201,39.0
215202,39.0
215203,48.0
215204,19.0
215205,30.0
215206,18.0
215207,28.0
215211,10.0
215212,21.0
215213,19.0
215214,9.0
215215,11.0
215216,35.0
215217,15.0
215218,27.0
215219,32.0
215220,63.0
215221,22.0
215222,30.0
215223,13.0
215226,49.0
215227,148.0
215230,18.0
215232,38.0
215233,32.0
215236,20.0
215237,37.0
215238,31.0
215239,23.0
215240,21.0
215241,28.0
215242,63.0
215243,27.0
215244,41.0
215245,21.0
215246,16.0
215247,47.0
215248,32.0
215249,140.0
215251,13.0
215252,20.0
215253,15.0
215254,149.0
215255,136.0
215256,41.0
215258,74.0
215259,86.0
215260,88.0
215263,27.0
215264,81.0
215265,64.0
215266,78.0
215269,75.0
215270,41.0
215274,24.0
215278,26.0
215279,25.0
215280,12.0
215282,15.0
215283,42.0
215284,25.0
215287,48.0
215288,21.0
215289,39.0
215290,24.0
215291,20.0
215292,40.0
215293,30.0
215297,16.0
215299,18.0
215300,14.0
215302,5.0
215303,41.0
215304,86.0
215305,32.0
215308,68.0
215309,33.0
215310,33.0
215312,25.0
215313,76.0
215314,213.0
215317,22.0
215320,46.0
215321,35.0
215322,15.0
215324,29.0
215325,67.0
215326,43.0
215327,52.0
215328,54.0
215329,49.0
215330,63.0
215331,34.0
215332,50.0
215333,16.0
215335,37.0
215336,28.0
215337,144.0
215338,15.0
215339,20.0
215340,22.0
215342,59.0
215343,43.0
215346,29.0
215347,35.0
215348,43.0
215350,42.0
215351,27.0
215352,42.0
215355,40.0
215359,11.0
215362,102.0
215363,78.0
215364,24.0
215366,47.0
215367,59.0
215368,56.0
215372,52.0
215373,46.0
215374,66.0
215375,65.0
215376,43.0
215377,242.0
215380,16.0
215382,206.0
215383,108.0
215384,75.0
215387,72.0
215388,84.0
215389,109.0
215391,112.0
215392,58.0
215393,98.0
215394,37.0
215395,24.0
215397,83.0
215398,58.0
215399,292.0
215400,13.0
215401,12.0
215402,48.0
215403,7.0
215404,22.0
215407,234.0
215408,152.0
215409,66.0
215410,11.0
215412,89.0
215413,105.0
215414,119.0
215418,109.0
215419,58.0
215420,103.0
215421,15.0
215422,10.0
215424,85.0
215425,56.0
215426,230.0
215427,7.0
215428,18.0
215429,28.0
215431,13.0
215435,23.0
215436,13.0
215437,8.0
215438,5.0
215439,20.0
215440,59.0
215441,26.0
215444,68.0
215445,28.0
215446,50.0
215447,5.0
215448,27.0
215450,149.0
215453,20.0
215455,27.0
215456,30.0
215458,18.0
215459,32.0
215460,15.0
215463,50.0
215464,21.0
215465,18.0
215468,21.0
215469,45.0
215470,130.0
215472,10.0
215473,15.0
215474,12.0
